concept_id,intended_class,vitb32_auc,biomedclip_auc,biomedclip_auc_max,delta
asymmetry,nv,0.6449,0.7592,0.7592,0.1143
border_irregularity,nv,0.6603,0.7497,0.7497,0.0895
colour_variation,vasc,0.7119,0.6804,0.6804,-0.0315
diameter_large,nv,0.6318,0.6966,0.6966,0.0649
atypical_pigment_network,nv,0.6241,0.6295,0.6295,0.0054
blue_white_veil,vasc,0.7367,0.587,0.5903,-0.1497
atypical_vascular_pattern,vasc,0.675,0.347,0.6419,-0.3279
irregular_streaks,nv,0.7017,0.7416,0.7416,0.04
irregular_pigmentation,nv,0.6552,0.6002,0.607,-0.0551
irregular_dots_globules,mel,0.6061,0.5337,0.683,-0.0724
regression_structures,vasc,0.6343,0.2048,0.6889,-0.4295
symmetric_uniform,nv,0.6683,0.7052,0.7052,0.0369
reticular_network,vasc,0.6295,0.107,0.6555,-0.5225
arborizing_vessels,nv,0.5997,0.5673,0.6707,-0.0324
blue_grey_ovoid_nests,vasc,0.727,0.4535,0.6052,-0.2735
ulceration,vasc,0.7031,0.8889,0.8889,0.1858
scaly_surface,vasc,0.5797,0.4214,0.6978,-0.1583
strawberry_pattern,vasc,0.6629,0.4572,0.6653,-0.2057
milia_like_cysts,vasc,0.6715,0.7868,0.7868,0.1153
comedo_like_openings,nv,0.6266,0.506,0.6842,-0.1206
cerebriform_surface,nv,0.618,0.6425,0.6565,0.0244
central_white_patch,nv,0.6632,0.7327,0.7327,0.0695
red_lacunae,nv,0.6461,0.6797,0.814,0.0336
healthy_skin,nv,0.5854,0.7231,0.7231,0.1377
