concept_id,designed_target,vitb32_v4_auc,biomedclip_v4_auc,biomedclip_v5_auc,delta_v4_to_v5_biomedclip,delta_vitb32_to_v5_biomedclip
regression_structures,mel,0.4779,0.4695,0.5789,0.1094,0.1011
colour_variation,mel,0.5642,0.5336,0.6412,0.1076,0.077
blue_white_veil,mel,0.5349,0.5127,0.6069,0.0941,0.0719
irregular_dots_globules,mel,0.6061,0.5337,0.6243,0.0906,0.0181
atypical_vascular_pattern,mel,0.4414,0.4086,0.4972,0.0886,0.0558
irregular_pigmentation,mel,0.5069,0.5443,0.5998,0.0555,0.0929
diameter_large,mel,0.5171,0.5328,0.5812,0.0484,0.0641
atypical_pigment_network,mel,0.5618,0.5838,0.6239,0.0401,0.0621
irregular_streaks,mel,0.5072,0.5297,0.5679,0.0382,0.0607
symmetric_uniform,nv,0.6683,0.7052,0.7397,0.0345,0.0714
cerebriform_surface,bkl,0.4994,0.603,0.603,-0.0,0.1036
strawberry_pattern,akiec,0.3916,0.6653,0.6653,0.0,0.2737
arborizing_vessels,bcc,0.4373,0.4961,0.4961,-0.0,0.0588
blue_grey_ovoid_nests,bcc,0.5024,0.4049,0.4049,0.0,-0.0975
ulceration,bcc,0.4628,0.6404,0.6404,0.0,0.1775
scaly_surface,akiec,0.5212,0.6384,0.6384,-0.0,0.1172
red_lacunae,vasc,0.5539,0.814,0.814,-0.0,0.2602
central_white_patch,df,0.5563,0.6538,0.6538,-0.0,0.0975
milia_like_cysts,bkl,0.4379,0.6869,0.6869,-0.0,0.249
comedo_like_openings,bkl,0.3852,0.653,0.653,0.0,0.2678
healthy_skin,nv,0.5854,0.7231,0.7231,-0.0,0.1377
reticular_network,nv,0.6195,0.6555,0.6553,-0.0003,0.0358
asymmetry,mel,0.4935,0.5104,0.4791,-0.0314,-0.0144
border_irregularity,mel,0.5068,0.6139,0.5744,-0.0395,0.0676
