,asymmetry,border_irregularity,colour_variation,diameter_large,atypical_pigment_network,blue_white_veil,atypical_vascular_pattern,irregular_streaks,irregular_pigmentation,irregular_dots_globules,regression_structures,symmetric_uniform,reticular_network,arborizing_vessels,blue_grey_ovoid_nests,ulceration,scaly_surface,strawberry_pattern,milia_like_cysts,comedo_like_openings,cerebriform_surface,central_white_patch,red_lacunae,healthy_skin
asymmetry,1.0,0.829857,0.641969,0.898706,0.640797,0.861923,0.559073,0.765343,0.73571,0.677151,0.661006,0.842851,0.542622,-0.021227,0.644301,0.209992,-0.019696,-0.186532,0.352475,0.455297,0.549621,0.391324,0.112422,0.414109
border_irregularity,0.829857,1.0,0.842175,0.919916,0.729078,0.696157,0.724525,0.896452,0.842552,0.880075,0.80342,0.729325,0.5389,0.209828,0.721749,0.392536,0.071389,-0.066405,0.461511,0.517241,0.639791,0.151254,0.034679,0.176251
colour_variation,0.641969,0.842175,1.0,0.827679,0.788302,0.538624,0.566587,0.864378,0.933992,0.927895,0.636896,0.731451,0.679389,0.142513,0.732594,0.103423,0.116008,-0.098517,0.554204,0.581824,0.663077,-0.168989,-0.153864,0.075827
diameter_large,0.898706,0.919916,0.827679,1.0,0.726954,0.750205,0.612536,0.872461,0.828708,0.833247,0.654152,0.809282,0.590963,0.03039,0.705522,0.217899,-0.050551,-0.16742,0.332539,0.428336,0.571346,0.089284,-0.091349,0.120011
atypical_pigment_network,0.640797,0.729078,0.788302,0.726954,1.0,0.564319,0.766726,0.813577,0.881902,0.857397,0.731935,0.751371,0.860982,0.420581,0.648364,0.135274,0.296912,0.226143,0.573036,0.625738,0.567121,0.058507,0.182558,0.351114
blue_white_veil,0.861923,0.696157,0.538624,0.750205,0.564319,1.0,0.591358,0.677279,0.616498,0.53935,0.709913,0.707935,0.526843,0.183108,0.744697,0.306816,0.134262,0.007542,0.373214,0.445784,0.559003,0.523252,0.223045,0.46252
atypical_vascular_pattern,0.559073,0.724525,0.566587,0.612536,0.766726,0.591358,1.0,0.71945,0.662751,0.690675,0.898078,0.467086,0.528557,0.682977,0.502481,0.54462,0.38678,0.478807,0.503128,0.506831,0.55333,0.30992,0.49843,0.356818
irregular_streaks,0.765343,0.896452,0.864378,0.872461,0.813577,0.677279,0.71945,1.0,0.888391,0.876828,0.785759,0.743718,0.664145,0.278096,0.650406,0.263655,0.200708,0.043284,0.56004,0.599298,0.724107,0.090622,0.046977,0.245132
irregular_pigmentation,0.73571,0.842552,0.933992,0.828708,0.881902,0.616498,0.662751,0.888391,1.0,0.937892,0.733765,0.78973,0.749618,0.194337,0.702531,0.083423,0.166912,-0.057718,0.650299,0.708484,0.717121,-0.023226,-0.011393,0.268689
irregular_dots_globules,0.677151,0.880075,0.927895,0.833247,0.857397,0.53935,0.690675,0.876828,0.937892,1.0,0.728095,0.693892,0.662699,0.218941,0.672368,0.230334,0.173377,-0.027061,0.62117,0.665781,0.70828,-0.043017,-0.048109,0.124345
