concept_id,tier,t1_auc_max,t2_auc_max,t3_auc_max,best_template,best_auc
asymmetry,1,0.7135821276521614,0.7591958477475594,0.5375390792753398,t2,0.7591958477475594
border_irregularity,1,0.7497434309904175,0.7295792493026099,0.6333317380715894,t1,0.7497434309904175
colour_variation,1,0.6676715320078153,0.6220451552351323,0.6803873118032411,t3,0.6803873118032411
diameter_large,1,0.6966418646445166,0.6664279047053878,0.5990927836559551,t1,0.6966418646445166
atypical_pigment_network,2,0.586536951275982,0.6294664081097303,0.5837934725080858,t2,0.6294664081097303
blue_white_veil,2,0.5900505944955077,0.5884990821115347,0.5903032649205504,t3,0.5903032649205504
atypical_vascular_pattern,2,0.6150140505820956,0.6343600598518303,0.6419310730751919,t3,0.6419310730751919
irregular_streaks,2,0.6363276359208134,0.5459953247893219,0.7416130207385028,t3,0.7416130207385028
irregular_pigmentation,2,0.6070351201907828,0.6001900401912457,0.5865188983709958,t1,0.6070351201907828
irregular_dots_globules,2,0.6830237704069619,0.6577589582824215,0.5754981469789373,t1,0.6830237704069619
regression_structures,2,0.5904879383964089,0.6889330073111688,0.634379045956099,t2,0.6889330073111688
symmetric_uniform,3,0.7051812750492837,0.6510282499162683,0.5742948930478227,t1,0.7051812750492837
reticular_network,3,0.6045958973122666,0.6555257764575508,0.5831307123044105,t2,0.6555257764575508
arborizing_vessels,3,0.6707195601133779,0.6494935707942533,0.6046326776395022,t1,0.6707195601133779
blue_grey_ovoid_nests,3,0.5634030667179172,0.6052038812114084,0.546881348622954,t2,0.6052038812114084
ulceration,3,0.7299965521204459,0.7344672552164608,0.8889139179404667,t3,0.8889139179404667
scaly_surface,3,0.6978198342560685,0.653639049081964,0.5842850712597061,t1,0.6978198342560685
strawberry_pattern,3,0.5848540974053269,0.6229466049861421,0.6653397077965524,t3,0.6653397077965524
milia_like_cysts,3,0.6869063777981541,0.64744903320723,0.7867854269624182,t3,0.7867854269624182
comedo_like_openings,3,0.6841923044171138,0.6413519032400083,0.5576310496912673,t1,0.6841923044171138
cerebriform_surface,3,0.6029943910915072,0.6564706884176977,0.6424575454680325,t2,0.6564706884176977
central_white_patch,3,0.6537952188660492,0.7327227377251485,0.6776221124008733,t2,0.7327227377251485
red_lacunae,3,0.6258111865633562,0.6797488061199488,0.8140489598896679,t3,0.8140489598896679
healthy_skin,3,0.7231119892643518,0.6963882107927432,0.5934690911788308,t1,0.7231119892643518
