concept_id,target_class,auc_max,auc_max_class
milia_like_cysts,bkl,0.7157,bkl
arborizing_vessels,bcc,0.7007,akiec
central_white_patch,df,0.6906,df
cerebriform_surface,bkl,0.6879,bkl
healthy_skin,nv,0.6802,nv
symmetric_uniform,nv,0.672,nv
asymmetry,mel,0.6694,nv
comedo_like_openings,bkl,0.6689,bkl
scaly_surface,akiec,0.6564,akiec
ulceration,bcc,0.6521,vasc
colour_variation,mel,0.6454,bkl
blue_white_veil,mel,0.6351,nv
red_lacunae,vasc,0.6316,nv
strawberry_pattern,akiec,0.6267,akiec
reticular_network,nv,0.6254,nv
irregular_dots_globules,mel,0.611,bkl
diameter_large,mel,0.6087,nv
irregular_pigmentation,mel,0.5998,mel
blue_grey_ovoid_nests,bcc,0.5951,mel
atypical_pigment_network,mel,0.5759,nv
border_irregularity,mel,0.5744,mel
atypical_vascular_pattern,mel,0.5727,nv
irregular_streaks,mel,0.5679,mel
regression_structures,mel,0.5357,nv
