epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val,r_sparse_train
1,1.8124074962243337,1.6404635906219482,0.45780480941634016,0.001,0.2955578158681209,0.31715649366378784,145.63469725388748
2,1.732234609221611,1.8355677127838135,0.459137636996272,0.001,0.3517722315513171,0.370830774307251,82.7282783801739
3,1.91285629872494,1.9459339380264282,0.14285714285714285,0.001,0.33043087281895656,0.0,22.048027421491078
4,1.945915064631474,1.945694923400879,0.14285714285714285,0.001,0.0,0.0,0.0
5,1.9458883455630724,1.9453712701797485,0.14285714285714285,0.001,0.0,0.0,0.0
6,1.9459887800663176,1.945395827293396,0.14285714285714285,0.001,0.0,0.0,0.0
7,1.9459075094622946,1.9453179836273193,0.14285714285714285,0.001,0.0,0.0,0.0
8,1.9459049500690722,1.9452850818634033,0.14285714285714285,0.001,0.0,0.0,0.0
9,1.9458762262301046,1.9453240633010864,0.14285714285714285,0.0005,0.0,0.0,0.0
10,1.9458144507487505,1.9452158212661743,0.14285714285714285,0.0005,0.0,0.0,0.0
11,1.945791404602186,1.9449373483657837,0.14285714285714285,0.0005,0.0,0.0,0.0
12,1.945879219516215,1.9448262453079224,0.14285714285714285,0.0005,0.0,0.0,0.0
13,1.9458602961308664,1.9446288347244263,0.14285714285714285,0.0005,0.0,0.0,0.0
14,1.9458417747454244,1.9446102380752563,0.14285714285714285,0.0005,0.0,0.0,0.0
15,1.9458090630043423,1.9447087049484253,0.14285714285714285,0.00025,0.0,0.0,0.0
16,1.9457363460237862,1.9446314573287964,0.14285714285714285,0.00025,0.0,0.0,0.0
17,1.945741138648868,1.9445773363113403,0.14285714285714285,0.00025,0.0,0.0,0.0
