condition,seed,lambda_s,lambda_c,n_active,test_auc_weighted,test_balanced_acc,R_perp,test_auc_akiec,test_f1_akiec,test_auc_bcc,test_f1_bcc,test_auc_bkl,test_f1_bkl,test_auc_df,test_f1_df,test_auc_mel,test_f1_mel,test_auc_nv,test_f1_nv,test_auc_vasc,test_f1_vasc
plain_nam,42,0.0,0.0,24,0.8575,0.5353,0.3168,0.8915,0.3277,0.8982,0.3887,0.8001,0.4182,0.8745,0.1709,0.765,0.3477,0.8742,0.7587,0.9749,0.5217
plain_nam,43,0.0,0.0,24,0.8546,0.5253,0.3373,0.8919,0.3033,0.891,0.3832,0.7978,0.4175,0.8646,0.1446,0.7569,0.3445,0.8722,0.7389,0.9791,0.4946
plain_nam,44,0.0,0.0,24,0.856,0.5509,0.3133,0.8871,0.3474,0.9006,0.4367,0.8042,0.42,0.8788,0.1635,0.7654,0.3489,0.871,0.7527,0.9788,0.5455
plain_nam,45,0.0,0.0,24,0.8491,0.5213,0.3227,0.8806,0.3258,0.9001,0.4211,0.7956,0.4313,0.872,0.1679,0.7604,0.3277,0.8634,0.7657,0.9771,0.4731
plain_nam,46,0.0,0.0,24,0.8561,0.5189,0.3188,0.8903,0.3128,0.9017,0.4155,0.7967,0.3977,0.8607,0.1653,0.7545,0.3307,0.8744,0.736,0.9777,0.5455
concurvity_only_lc1,42,0.0,1.0,24,0.8441,0.5181,0.1293,0.8766,0.2975,0.8715,0.3657,0.8009,0.385,0.8664,0.1562,0.7628,0.3392,0.8572,0.7431,0.9779,0.5
concurvity_only_lc1,43,0.0,1.0,24,0.8304,0.5061,0.1765,0.8811,0.3415,0.8416,0.3401,0.788,0.4106,0.8504,0.156,0.7384,0.3498,0.8455,0.7187,0.9683,0.4421
concurvity_only_lc1,44,0.0,1.0,24,0.8363,0.508,0.1577,0.8682,0.3103,0.865,0.379,0.7914,0.3922,0.8283,0.1481,0.739,0.3138,0.8526,0.7219,0.9765,0.3932
concurvity_only_lc1,45,0.0,1.0,24,0.8429,0.5189,0.1243,0.8717,0.3214,0.8786,0.384,0.7989,0.3877,0.8626,0.1437,0.7524,0.3333,0.8572,0.7091,0.9773,0.4536
concurvity_only_lc1,46,0.0,1.0,24,0.8486,0.5209,0.1485,0.8755,0.3099,0.8782,0.4069,0.7969,0.3843,0.8596,0.1653,0.7602,0.3406,0.8646,0.7279,0.9757,0.5517
sparsity_only_lc0_warmft,42,23.7,0.0,10,0.7714,0.4467,0.057,0.854,0.2629,0.7795,0.2111,0.7522,0.3575,0.8193,0.1111,0.6989,0.2806,0.7777,0.6713,0.9082,0.2824
sparsity_only_lc0_warmft,43,23.7,0.0,13,0.7846,0.4385,0.102,0.8606,0.2578,0.8064,0.2189,0.7479,0.3848,0.8141,0.094,0.7077,0.295,0.7943,0.6962,0.9094,0.2824
sparsity_only_lc0_warmft,44,23.7,0.0,11,0.7724,0.4497,0.0688,0.8579,0.2832,0.7842,0.2043,0.7538,0.3459,0.8235,0.1215,0.7011,0.2801,0.7779,0.6753,0.9097,0.2874
sparsity_only_lc0_warmft,45,23.7,0.0,14,0.778,0.4285,0.1128,0.8628,0.2324,0.7911,0.1829,0.7469,0.3693,0.8138,0.0959,0.7,0.2714,0.7871,0.6546,0.9034,0.2595
sparsity_only_lc0_warmft,46,23.7,0.0,9,0.7678,0.4393,0.0428,0.8583,0.2542,0.7707,0.2,0.7444,0.3766,0.8116,0.1259,0.6844,0.2799,0.7767,0.6707,0.9003,0.2614
sparsity_conc_lc1_warmft,42,12.0,1.0,11,0.8088,0.4834,0.0425,0.8523,0.2482,0.8381,0.2672,0.7645,0.3682,0.8024,0.1224,0.73,0.3185,0.8214,0.6689,0.9529,0.3556
sparsity_conc_lc1_warmft,43,12.0,1.0,12,0.82,0.4885,0.0552,0.8569,0.266,0.8373,0.2895,0.7688,0.3882,0.828,0.142,0.729,0.3123,0.8367,0.6926,0.9566,0.4132
sparsity_conc_lc1_warmft,44,12.0,1.0,13,0.8067,0.4775,0.0639,0.8514,0.2482,0.8362,0.2547,0.7612,0.385,0.8372,0.1224,0.7274,0.3082,0.8182,0.6533,0.9667,0.4
sparsity_conc_lc1_warmft,45,12.0,1.0,10,0.8154,0.4802,0.0342,0.8503,0.2555,0.86,0.287,0.7717,0.3583,0.8518,0.1538,0.7332,0.3126,0.8265,0.7208,0.9659,0.3968
sparsity_conc_lc1_warmft,46,12.0,1.0,9,0.8094,0.4732,0.0269,0.8454,0.2707,0.8508,0.2304,0.761,0.3643,0.8335,0.1161,0.7261,0.3006,0.8221,0.677,0.9597,0.4
