concept_id,designed_target,vitb32_auc,biomedclip_auc,delta
strawberry_pattern,akiec,0.3916,0.6653,0.2737
comedo_like_openings,bkl,0.3852,0.653,0.2678
red_lacunae,vasc,0.5539,0.814,0.2602
milia_like_cysts,bkl,0.4379,0.6869,0.249
ulceration,bcc,0.4628,0.6404,0.1775
healthy_skin,nv,0.5854,0.7231,0.1377
scaly_surface,akiec,0.5212,0.6384,0.1172
border_irregularity,mel,0.5068,0.6139,0.1071
cerebriform_surface,bkl,0.4994,0.603,0.1036
central_white_patch,df,0.5563,0.6538,0.0975
arborizing_vessels,bcc,0.4373,0.4961,0.0588
irregular_pigmentation,mel,0.5069,0.5443,0.0374
symmetric_uniform,nv,0.6683,0.7052,0.0369
reticular_network,nv,0.6195,0.6555,0.0361
irregular_streaks,mel,0.5072,0.5297,0.0225
atypical_pigment_network,mel,0.5618,0.5838,0.022
asymmetry,mel,0.4935,0.5104,0.0169
diameter_large,mel,0.5171,0.5328,0.0157
regression_structures,mel,0.4779,0.4695,-0.0084
blue_white_veil,mel,0.5349,0.5127,-0.0222
colour_variation,mel,0.5642,0.5336,-0.0306
atypical_vascular_pattern,mel,0.4414,0.4086,-0.0328
irregular_dots_globules,mel,0.6061,0.5337,-0.0724
blue_grey_ovoid_nests,bcc,0.5024,0.4049,-0.0975
