prompt_idx,concept_id,template,prompt,mean_akiec,mean_bcc,mean_bkl,mean_df,mean_mel,mean_nv,mean_vasc
0,asymmetry,t1,a dermoscopic image of an asymmetric skin lesion,0.43278226256370544,0.4294314682483673,0.43225201964378357,0.4428662359714508,0.4281657934188843,0.4427449405193329,0.42268481850624084
1,asymmetry,t2,a dermatoscopic image showing a skin lesion with asymmetric shape along both axes,0.43621110916137695,0.4316790699958801,0.43838006258010864,0.44744187593460083,0.43598437309265137,0.45293715596199036,0.4353342652320862
2,asymmetry,t3,a close-up photograph of a mole that is asymmetric in outline,0.33826807141304016,0.33566033840179443,0.3454733192920685,0.3277009427547455,0.343168705701828,0.34291180968284607,0.33956465125083923
3,border_irregularity,t1,a dermoscopic image with an irregular and asymmetric border,0.43508467078208923,0.4245017170906067,0.4392947554588318,0.43686601519584656,0.43717873096466064,0.4514777660369873,0.4203840494155884
4,border_irregularity,t2,"a dermatoscopic image showing a skin lesion with jagged, notched borders",0.44066351652145386,0.4377243220806122,0.4424683749675751,0.45173561573028564,0.4405200481414795,0.4545155167579651,0.4448719620704651
5,border_irregularity,t3,a close-up photograph of a mole with poorly defined edges,0.3146447539329529,0.3160213232040405,0.3199748396873474,0.29790183901786804,0.3176938593387604,0.3050835132598877,0.3137381076812744
6,colour_variation,t1,a dermoscopic image of a lesion with multiple colours,0.42275911569595337,0.4254472851753235,0.42436519265174866,0.42860105633735657,0.4233457148075104,0.431431382894516,0.43956679105758667
7,colour_variation,t2,"a dermatoscopic image showing variegated pigmentation including brown, black, and red",0.4250921905040741,0.41295889019966125,0.4358665645122528,0.408270925283432,0.43069666624069214,0.42962464690208435,0.37480080127716064
8,colour_variation,t3,a close-up photograph of a skin lesion with uneven color distribution,0.4016801416873932,0.4015687108039856,0.4039481282234192,0.40700286626815796,0.41086646914482117,0.4131576716899872,0.42532557249069214
9,diameter_large,t1,a dermoscopic image of a large skin lesion greater than six millimetres,0.4267633259296417,0.4158858060836792,0.42863479256629944,0.43301039934158325,0.4269186556339264,0.4378257393836975,0.41367441415786743
