prompt_idx,concept_id,template,prompt,mean_akiec,mean_bcc,mean_bkl,mean_df,mean_mel,mean_nv,mean_vasc
0,asymmetry,t1,Dermoscopy of melanoma showing an asymmetric pigmented lesion,0.41118621826171875,0.4185560643672943,0.4271965026855469,0.4160834550857544,0.4326607584953308,0.4374805688858032,0.40754565596580505
1,asymmetry,t2,Dermoscopic image of melanoma demonstrating asymmetric shape along both axes,0.4167557656764984,0.4172969162464142,0.43118926882743835,0.41661155223846436,0.4374387562274933,0.4444831907749176,0.40914151072502136
2,asymmetry,t3,Asymmetric outline of a pigmented lesion in dermoscopy of melanoma,0.425871878862381,0.42843571305274963,0.4389590919017792,0.4352031946182251,0.4460933804512024,0.45511338114738464,0.420291930437088
3,border_irregularity,t1,Dermoscopy of melanoma showing irregular and jagged lesion borders,0.4204168915748596,0.42251670360565186,0.43155017495155334,0.41493672132492065,0.4352816641330719,0.43207669258117676,0.4092915952205658
4,border_irregularity,t2,Dermoscopic image of melanoma demonstrating notched and ill-defined borders,0.43773123621940613,0.4413076341152191,0.44649890065193176,0.4364377558231354,0.452777624130249,0.45373326539993286,0.42395883798599243
5,border_irregularity,t3,Irregular notched borders of a pigmented lesion in dermoscopy of melanoma,0.44204407930374146,0.4421350359916687,0.45175838470458984,0.4396369755268097,0.45985639095306396,0.45911726355552673,0.4265078604221344
6,colour_variation,t1,Dermoscopy of melanoma showing variegated pigmentation with multiple colours,0.4128003418445587,0.4079895615577698,0.42845988273620605,0.395941823720932,0.4286596179008484,0.4183882176876068,0.37457990646362305
7,colour_variation,t2,"Dermoscopic image of melanoma demonstrating brown, black, and red colour variation",0.4292992353439331,0.4293687641620636,0.4409969449043274,0.4222709536552429,0.4494713544845581,0.4481879770755768,0.41037553548812866
8,colour_variation,t3,Multi-coloured variegated pigmentation in dermoscopy of melanoma,0.4200395941734314,0.41122689843177795,0.43324583768844604,0.4045931100845337,0.4341379404067993,0.4254327416419983,0.37498190999031067
9,diameter_large,t1,Dermoscopy of melanoma showing a large pigmented lesion greater than six millimetres,0.4101659953594208,0.41217026114463806,0.42785489559173584,0.4082901179790497,0.4365619122982025,0.43365731835365295,0.396775484085083
10,diameter_large,t2,Dermoscopic image of melanoma demonstrating a broad pigmented surface,0.4164363145828247,0.4157395362854004,0.4323066174983978,0.4107153117656708,0.4388049840927124,0.4364809989929199,0.38810858130455017
11,diameter_large,t3,A large pigmented lesion in dermoscopy of melanoma,0.39133819937705994,0.3931470513343811,0.40868353843688965,0.3946525454521179,0.4207788109779358,0.4175530970096588,0.3860261142253876
12,atypical_pigment_network,t1,Dermoscopy of melanoma showing an atypical pigment network,0.4271512031555176,0.42023175954818726,0.43578511476516724,0.4075363874435425,0.43692368268966675,0.43656837940216064,0.39176705479621887
13,atypical_pigment_network,t2,Dermoscopic image of melanoma demonstrating an irregular broadened pigment network,0.44121405482292175,0.4289354681968689,0.452401340007782,0.41684669256210327,0.45610418915748596,0.4501427412033081,0.3835485875606537
14,atypical_pigment_network,t3,An atypical pigment network with thickened lines in dermoscopy of melanoma,0.43250495195388794,0.4208309054374695,0.43701350688934326,0.4155255854129791,0.43475279211997986,0.44009140133857727,0.39118528366088867
15,blue_white_veil,t1,Dermoscopy of melanoma showing a blue-white veil,0.4353216886520386,0.4436641037464142,0.4451746642589569,0.4426027536392212,0.44795408844947815,0.4526958763599396,0.42488059401512146
16,blue_white_veil,t2,Dermoscopic image of melanoma demonstrating a confluent blue-whitish structureless area,0.43648189306259155,0.4348942041397095,0.44824233651161194,0.43996661901474,0.4554171860218048,0.4491792619228363,0.4066275656223297
17,blue_white_veil,t3,A blue-white veil overlying pigmented areas in dermoscopy of melanoma,0.4272577166557312,0.431391179561615,0.43761420249938965,0.4235253930091858,0.44044214487075806,0.43587756156921387,0.3982491195201874
18,atypical_vascular_pattern,t1,Dermoscopy of melanoma showing atypical vascular structures,0.4382897913455963,0.43554553389549255,0.4404764473438263,0.4272339940071106,0.44194719195365906,0.4431350529193878,0.42243659496307373
19,atypical_vascular_pattern,t2,Dermoscopic image of melanoma demonstrating polymorphous atypical vessels,0.4381353259086609,0.435952752828598,0.43863534927368164,0.42602986097335815,0.4381280839443207,0.4413471221923828,0.41858363151550293
20,atypical_vascular_pattern,t3,Atypical polymorphous vascular structures in dermoscopy of melanoma,0.44089972972869873,0.43212890625,0.437113493680954,0.4325527846813202,0.4333210289478302,0.4418387711048126,0.42729651927948
21,irregular_streaks,t1,Dermoscopy of melanoma showing irregular radial streaks and pseudopods,0.4157136082649231,0.4128369987010956,0.4284621775150299,0.40682342648506165,0.4309172034263611,0.42802345752716064,0.3898538649082184
22,irregular_streaks,t2,Dermoscopic image of melanoma demonstrating asymmetric peripheral streaks,0.43156036734580994,0.4302755296230316,0.4406237304210663,0.43223950266838074,0.4439048767089844,0.45327845215797424,0.40805578231811523
23,irregular_streaks,t3,Irregular radial streaks at the periphery in dermoscopy of melanoma,0.43267327547073364,0.4297926425933838,0.4344528913497925,0.4360812306404114,0.4335424602031708,0.4437311291694641,0.4154971241950989
24,irregular_pigmentation,t1,Dermoscopy of melanoma showing irregular pigmented blotches,0.4202011823654175,0.4166673421859741,0.43192553520202637,0.40033844113349915,0.4328683614730835,0.427757203578949,0.37765341997146606
