prompt_idx,concept_id,template,prompt,auc_akiec,auc_bcc,auc_bkl,auc_df,auc_mel,auc_nv,auc_vasc,auc_max,auc_argmax_class
0,asymmetry,t1,Dermoscopy of melanoma showing an asymmetric pigmented lesion,0.19444862109655364,0.2981683351943101,0.3966471520046478,0.2991142774761617,0.4790683524453592,0.6694078281891687,0.24020687277324446,0.6694078281891687,nv
1,asymmetry,t2,Dermoscopic image of melanoma demonstrating asymmetric shape along both axes,0.1901366130189896,0.2135578827292463,0.3598977272926018,0.23994053647574298,0.46084814270312646,0.718197384422071,0.20444891391794046,0.718197384422071,nv
2,asymmetry,t3,Asymmetric outline of a pigmented lesion in dermoscopy of melanoma,0.1782158801990195,0.21661563271305007,0.3292962081476324,0.3221187213024018,0.4370663530334215,0.7401861036745319,0.19208596713021492,0.7401861036745319,nv
3,border_irregularity,t1,Dermoscopy of melanoma showing irregular and jagged lesion borders,0.31780129678965485,0.3601226656809206,0.5066458021270192,0.29049612342448466,0.5744336371655395,0.5463705020871125,0.25049189748304795,0.5744336371655395,mel
4,border_irregularity,t2,Dermoscopic image of melanoma demonstrating notched and ill-defined borders,0.24922910356069727,0.3204368595349971,0.39693541209188266,0.2932976030577929,0.52561897481133,0.6389946540922915,0.189195494770716,0.6389946540922915,nv
5,border_irregularity,t3,Irregular notched borders of a pigmented lesion in dermoscopy of melanoma,0.24110604235855138,0.25823783918366,0.3955079443239871,0.24209072823981304,0.5607433107909439,0.6426383203745788,0.16737731295253416,0.6426383203745788,nv
6,colour_variation,t1,Dermoscopy of melanoma showing variegated pigmentation with multiple colours,0.40941401165407587,0.366006972629033,0.6453675109417202,0.23132093350778282,0.6412393217681074,0.44899945461963303,0.16051718193311115,0.6453675109417202,bkl
7,colour_variation,t2,"Dermoscopic image of melanoma demonstrating brown, black, and red colour variation",0.23998661849324235,0.2623740664946692,0.4168233706587482,0.2078608055105184,0.562705243555817,0.6328564556626273,0.173791518216297,0.6328564556626273,nv
8,colour_variation,t3,Multi-coloured variegated pigmentation in dermoscopy of melanoma,0.4118083281632057,0.3205610305111271,0.6269123465150181,0.22579911355301802,0.6359494266392238,0.4717740020747494,0.12326111941156188,0.6359494266392238,mel
9,diameter_large,t1,Dermoscopy of melanoma showing a large pigmented lesion greater than six millimetres,0.230177730739754,0.2621125452700067,0.44979838488493207,0.25095157576890365,0.5768905615995296,0.6086686888730042,0.21714745431559593,0.6086686888730042,nv
10,diameter_large,t2,Dermoscopic image of melanoma demonstrating a broad pigmented surface,0.24498229991606146,0.2589499962526406,0.4720297882536479,0.22927071696724435,0.5715872586494168,0.6058231787498903,0.13554878749569013,0.6058231787498903,nv
11,diameter_large,t3,A large pigmented lesion in dermoscopy of melanoma,0.2166791966229943,0.23896164482400747,0.4128183362034795,0.271625437753832,0.5811971380966383,0.6272513096434263,0.24812377887599124,0.6272513096434263,nv
12,atypical_pigment_network,t1,Dermoscopy of melanoma showing an atypical pigment network,0.35830225174263713,0.2845698666575206,0.5292492565735781,0.15754501420662417,0.5494350289130647,0.575884332438696,0.0706573957016435,0.575884332438696,nv
13,atypical_pigment_network,t2,Dermoscopic image of melanoma demonstrating an irregular broadened pigment network,0.3721280245246524,0.24678393996095127,0.5613357206080841,0.15154360296216446,0.6238972067039106,0.5364433711980723,0.04715320078151936,0.6238972067039106,mel
14,atypical_pigment_network,t3,An atypical pigment network with thickened lines in dermoscopy of melanoma,0.41189056360473464,0.24851201250982885,0.503258706352963,0.2031134313090524,0.4532220719396256,0.6281610847365429,0.07612803126077462,0.6281610847365429,nv
15,blue_white_veil,t1,Dermoscopy of melanoma showing a blue-white veil,0.26014062747101685,0.40052364583769995,0.40876536439779637,0.41214568563442977,0.4552481427031265,0.6351345636844672,0.2727037122169865,0.6351345636844672,nv
16,blue_white_veil,t2,Dermoscopic image of melanoma demonstrating a confluent blue-whitish structureless area,0.3301925720472489,0.32406735211586074,0.497376880905019,0.3960011359503659,0.6068557875134764,0.5389413804613901,0.21895241926215375,0.6068557875134764,mel
17,blue_white_veil,t3,A blue-white veil overlying pigmented areas in dermoscopy of melanoma,0.3615743950950695,0.44351220940498287,0.5419556753609491,0.3367397355148217,0.5859598157404685,0.5023169885000888,0.18970003447879555,0.5859598157404685,mel
18,atypical_vascular_pattern,t1,Dermoscopy of melanoma showing atypical vascular structures,0.4229862657080642,0.39701383093184767,0.4695721841894509,0.2850590650722792,0.49720458688620994,0.5726595708213356,0.2767268130099989,0.5726595708213356,nv
19,atypical_vascular_pattern,t2,Dermoscopic image of melanoma demonstrating polymorphous atypical vessels,0.4587603858739948,0.43677474305182407,0.47183438193968674,0.3058401468621545,0.46030806625502296,0.5745130492297802,0.25558786346396967,0.5745130492297802,nv
20,atypical_vascular_pattern,t3,Atypical polymorphous vascular structures in dermoscopy of melanoma,0.5184012748926439,0.3880789193885834,0.453974101747066,0.4082799769912094,0.37519976477506617,0.6091632822738176,0.39562693943224914,0.6091632822738176,nv
21,irregular_streaks,t1,Dermoscopy of melanoma showing irregular radial streaks and pseudopods,0.32642774594601165,0.29990307677259626,0.5325191721577325,0.2568812656573516,0.5679397824169362,0.556155562935939,0.17518790943569704,0.5679397824169362,mel
22,irregular_streaks,t2,Dermoscopic image of melanoma demonstrating asymmetric peripheral streaks,0.23052589321557607,0.23066203772511149,0.3480432100757792,0.28165990747220615,0.40898692541409387,0.7409079037725372,0.10826456729111597,0.7409079037725372,nv
23,irregular_streaks,t3,Irregular radial streaks at the periphery in dermoscopy of melanoma,0.3438234614308481,0.3044299186632471,0.3692941634566661,0.4424765746459935,0.3543623640105852,0.7085867764508073,0.2216837145155729,0.7085867764508073,nv
24,irregular_pigmentation,t1,Dermoscopy of melanoma showing irregular pigmented blotches,0.38452246268384366,0.37051206078089893,0.588630437053489,0.19688671358257592,0.5998327550720377,0.5009676919030824,0.09363636363636363,0.5998327550720377,mel
25,irregular_pigmentation,t2,Dermoscopic image of melanoma demonstrating asymmetric dark structureless areas,0.30013284186708516,0.25670634421591904,0.5141016103292827,0.19177855922662643,0.5755188081936685,0.5842766151800627,0.06275025859096656,0.5842766151800627,nv
26,irregular_pigmentation,t3,Irregular structureless dark pigmentation in dermoscopy of melanoma,0.2645954527207036,0.22559389294746962,0.4987701644926853,0.2194948788053975,0.5723398216210918,0.6013964589332237,0.09131479140328697,0.6013964589332237,nv
27,irregular_dots_globules,t1,Dermoscopy of melanoma showing irregular dots and globules,0.37094996532973246,0.3251431300740199,0.611039518661303,0.2006336110905848,0.6107982358129961,0.49486672319965475,0.14438282955982068,0.611039518661303,bkl
28,irregular_dots_globules,t2,Dermoscopic image of melanoma demonstrating asymmetrically distributed pigmented globules,0.35775725946741604,0.361338652043073,0.5895239161269673,0.22237749775055746,0.6242602371851416,0.4919687753583607,0.13158027812895068,0.6242602371851416,mel
29,irregular_dots_globules,t3,Irregular asymmetric dots and globules in dermoscopy of melanoma,0.35031276230794495,0.2842950073740411,0.5685302185768283,0.1777776811833589,0.5558031167303734,0.5554638978427551,0.07796690035628089,0.5685302185768283,bkl
30,regression_structures,t1,Dermoscopy of melanoma showing regression structures,0.4381621108718659,0.4673755844927917,0.5345848506206973,0.3408865339169568,0.48108713123591096,0.5356634435558013,0.195448798988622,0.5356634435558013,nv
31,regression_structures,t2,Dermoscopic image of melanoma demonstrating white scar-like areas and peppering,0.39813169835650775,0.2693149382447877,0.576030943201951,0.2525634951338147,0.5789472116044301,0.536192211035509,0.05138604758073784,0.5789472116044301,mel
32,regression_structures,t3,Regression structures with peppering and scar-like depigmentation in dermoscopy of melanoma,0.6376090896925903,0.4525884408571417,0.6760963065344731,0.36667217254854234,0.5670216995001471,0.41771278685152835,0.03454947707160097,0.6760963065344731,bkl
33,symmetric_uniform,t1,Dermoscopy of melanocytic nevus showing a symmetric uniformly pigmented lesion,0.22988723039305134,0.21901870630991804,0.44905396473687165,0.24145030724269784,0.47372670783103005,0.6719942756134898,0.10669808068038156,0.6719942756134898,nv
34,symmetric_uniform,t2,Dermoscopic image of benign nevus demonstrating a small round even-coloured lesion,0.2511971582545649,0.30787224934294183,0.3697483360651528,0.3993995690922974,0.32211882779574635,0.7396742651835468,0.18656361337777266,0.7396742651835468,nv
35,symmetric_uniform,t3,A symmetric small round pigmented lesion in dermoscopy of melanocytic nevus,0.20240258871330732,0.26937495950946433,0.3540178892969968,0.27912937518383124,0.40102236597079294,0.7331969250212982,0.17793931731984827,0.7331969250212982,nv
36,reticular_network,t1,Dermoscopy of melanocytic nevus showing a regular reticular pigment network,0.3439125092758172,0.2067562666646342,0.5346983738982956,0.1946763917927586,0.47710469469763794,0.625412828492626,0.0371623951269969,0.625412828492626,nv
37,reticular_network,t2,Dermoscopic image of benign nevus demonstrating an even fine pigment network,0.3639241876817148,0.22391409146859648,0.5201055448489289,0.27177105384028016,0.40057222385572866,0.6552661518006263,0.04459487415239627,0.6552661518006263,nv
38,reticular_network,t3,A regular evenly distributed reticular network in dermoscopy of melanocytic nevus,0.41849664854080754,0.19633177976705396,0.5150831732904213,0.219439819986641,0.498900872292463,0.6140463120935638,0.04710263188139295,0.6140463120935638,nv
