prompt_idx,concept_id,template,prompt,mean_akiec,mean_bcc,mean_bkl,mean_df,mean_mel,mean_nv,mean_vasc
0,asymmetry,t1,a dermoscopic image of an asymmetric skin lesion,0.29609215259552,0.30281326174736023,0.3018064498901367,0.3074508607387543,0.30706512928009033,0.31079185009002686,0.31155818700790405
1,asymmetry,t2,a dermatoscopic image showing a skin lesion with asymmetric shape along both axes,0.3211131691932678,0.3244745135307312,0.32535308599472046,0.3303371071815491,0.33318036794662476,0.3361983001232147,0.32787564396858215
2,asymmetry,t3,a close-up photograph of a mole that is asymmetric in outline,0.26914286613464355,0.27754026651382446,0.2763933539390564,0.2815692722797394,0.2821284234523773,0.2881314754486084,0.2812025547027588
3,border_irregularity,t1,a dermoscopic image with an irregular and asymmetric border,0.2506526708602905,0.25455349683761597,0.25673145055770874,0.2620220482349396,0.2643938958644867,0.2679816484451294,0.2631455361843109
4,border_irregularity,t2,"a dermatoscopic image showing a skin lesion with jagged, notched borders",0.31956350803375244,0.32227450609207153,0.3229100704193115,0.326541930437088,0.32900023460388184,0.33023151755332947,0.32864663004875183
5,border_irregularity,t3,a close-up photograph of a mole with poorly defined edges,0.26672878861427307,0.274440199136734,0.27237093448638916,0.2758942246437073,0.27795228362083435,0.28166961669921875,0.27649733424186707
6,colour_variation,t1,a dermoscopic image of a lesion with multiple colours,0.2755281329154968,0.28395846486091614,0.28267553448677063,0.28652527928352356,0.2896309792995453,0.2912787199020386,0.3030981719493866
7,colour_variation,t2,"a dermatoscopic image showing variegated pigmentation including brown, black, and red",0.3355100750923157,0.3336125612258911,0.33974316716194153,0.3339352309703827,0.3519516587257385,0.34927573800086975,0.330335795879364
8,colour_variation,t3,a close-up photograph of a skin lesion with uneven color distribution,0.32021304965019226,0.32184988260269165,0.32383546233177185,0.3281199336051941,0.3271743953227997,0.3336758315563202,0.33311688899993896
9,diameter_large,t1,a dermoscopic image of a large skin lesion greater than six millimetres,0.3056810796260834,0.31108516454696655,0.31216689944267273,0.3173046410083771,0.3171910345554352,0.3220037519931793,0.3227752447128296
10,diameter_large,t2,a dermatoscopic image of a wide pigmented lesion,0.3198568522930145,0.3215101361274719,0.32341107726097107,0.3228608965873718,0.33063051104545593,0.3311856687068939,0.32586008310317993
11,diameter_large,t3,a close-up photograph of a sizeable mole,0.251686692237854,0.25834229588508606,0.25710946321487427,0.2591511905193329,0.260217547416687,0.263395220041275,0.25643619894981384
12,atypical_pigment_network,t1,a dermoscopic image showing an atypical pigment network,0.29587051272392273,0.2964073121547699,0.3003266155719757,0.3020169138908386,0.3082696199417114,0.30651289224624634,0.2984951436519623
13,atypical_pigment_network,t2,a dermatoscopic image with an irregular brown grid pattern,0.32412564754486084,0.3226264417171478,0.32733091711997986,0.32595208287239075,0.33518892526626587,0.33572277426719666,0.31933438777923584
14,atypical_pigment_network,t3,a close-up photograph of a lesion with a disrupted pigment network,0.3119569420814514,0.315959095954895,0.3164253234863281,0.32265549898147583,0.32157933712005615,0.32645612955093384,0.32679980993270874
15,blue_white_veil,t1,a dermoscopic image showing a blue-white veil,0.24979086220264435,0.2538122534751892,0.25898417830467224,0.26287081837654114,0.26499319076538086,0.26791509985923767,0.2655016779899597
16,blue_white_veil,t2,a dermatoscopic image with a confluent blue-white area,0.30637314915657043,0.3093318045139313,0.31147560477256775,0.31280139088630676,0.3202899992465973,0.31970441341400146,0.31466591358184814
17,blue_white_veil,t3,a close-up photograph of a lesion with bluish-white structureless regions,0.2870261073112488,0.29744410514831543,0.29334577918052673,0.3036268353462219,0.29754385352134705,0.30220791697502136,0.31953033804893494
18,atypical_vascular_pattern,t1,a dermoscopic image showing atypical vascular structures,0.26166048645973206,0.2608843147754669,0.26313596963882446,0.26457151770591736,0.26221078634262085,0.26654353737831116,0.26517513394355774
19,atypical_vascular_pattern,t2,a dermatoscopic image with irregular blood vessels,0.30169054865837097,0.3010154664516449,0.30016085505485535,0.3018689751625061,0.30369821190834045,0.3083435297012329,0.3005264401435852
20,atypical_vascular_pattern,t3,a close-up photograph of a lesion containing dotted or linear vessels,0.30857497453689575,0.3145335018634796,0.31366121768951416,0.3194744288921356,0.3151819109916687,0.3204672634601593,0.3301054537296295
21,irregular_streaks,t1,a dermoscopic image showing irregular radial streaks,0.2461318075656891,0.24510744214057922,0.24779342114925385,0.25718992948532104,0.25090211629867554,0.2610033452510834,0.23661212623119354
22,irregular_streaks,t2,a dermatoscopic image with pseudopods at the lesion edge,0.3113310933113098,0.3142150938510895,0.3138640522956848,0.31307604908943176,0.31718266010284424,0.3177265524864197,0.31397876143455505
23,irregular_streaks,t3,a close-up photograph of a lesion with streaks at the periphery,0.2917531132698059,0.2966521084308624,0.2968209683895111,0.3052738308906555,0.2998840808868408,0.309802770614624,0.30511143803596497
24,irregular_pigmentation,t1,a dermoscopic image with irregular dark pigmented blotches,0.2915714383125305,0.29623669385910034,0.29995211958885193,0.29968369007110596,0.3084688186645508,0.3099322021007538,0.305076003074646
25,irregular_pigmentation,t2,a dermatoscopic image showing structureless black areas,0.3078854978084564,0.3122293949127197,0.31391677260398865,0.3160402476787567,0.32325446605682373,0.3260529637336731,0.3186972737312317
26,irregular_pigmentation,t3,a close-up photograph of a lesion with patchy dark pigment,0.30822017788887024,0.31371450424194336,0.3168390095233917,0.32299163937568665,0.3250567615032196,0.33117416501045227,0.33249133825302124
27,irregular_dots_globules,t1,a dermoscopic image showing irregular dots and globules,0.2894986569881439,0.29302990436553955,0.2957490086555481,0.2953915297985077,0.30273202061653137,0.30324703454971313,0.29961878061294556
28,irregular_dots_globules,t2,a dermatoscopic image with asymmetrically distributed pigmented globules,0.31764912605285645,0.3209358751773834,0.31898388266563416,0.318958044052124,0.3293572664260864,0.3240448832511902,0.31869810819625854
29,irregular_dots_globules,t3,a close-up photograph of a lesion with scattered brown dots,0.30634361505508423,0.3122928738594055,0.3147906959056854,0.31841006875038147,0.32042670249938965,0.32352396845817566,0.3256308436393738
30,regression_structures,t1,a dermoscopic image showing regression structures,0.21811145544052124,0.21900567412376404,0.221065491437912,0.22145165503025055,0.2219708263874054,0.22454310953617096,0.21500705182552338
31,regression_structures,t2,a dermatoscopic image with white scar-like areas and peppering,0.31792378425598145,0.32175588607788086,0.32061681151390076,0.3277825713157654,0.3286225199699402,0.33211803436279297,0.32423141598701477
32,regression_structures,t3,a close-up photograph of a lesion with whitish depigmented regions,0.3000011742115021,0.3054642975330353,0.30559009313583374,0.3112843930721283,0.3092862069606781,0.3146464228630066,0.32197892665863037
33,symmetric_uniform,t1,a dermoscopic image of a symmetric mole with uniform brown colour,0.27158471941947937,0.2786332964897156,0.2821274697780609,0.2850874662399292,0.2971559762954712,0.29611852765083313,0.2824863791465759
34,symmetric_uniform,t2,a dermatoscopic image showing a regularly pigmented lesion,0.3217063844203949,0.3240290880203247,0.3260112404823303,0.32657212018966675,0.33401426672935486,0.3348985016345978,0.3280995488166809
35,symmetric_uniform,t3,a close-up photograph of a benign-appearing mole,0.2655050754547119,0.27148962020874023,0.27062296867370605,0.2746266722679138,0.2750270366668701,0.27773845195770264,0.27209141850471497
36,reticular_network,t1,a dermoscopic image showing a regular reticular pigment network,0.2946959435939789,0.2945399880409241,0.2968597710132599,0.3007389307022095,0.3020308017730713,0.3028714060783386,0.2965759336948395
37,reticular_network,t2,a dermatoscopic image with an even brown net pattern,0.3326112627983093,0.33021947741508484,0.33591851592063904,0.33425959944725037,0.34273773431777954,0.3429037928581238,0.32767924666404724
38,reticular_network,t3,a close-up photograph of a lesion with a uniform grid of pigment,0.30846738815307617,0.3134757876396179,0.31402072310447693,0.31706079840660095,0.317548930644989,0.32286232709884644,0.3291666805744171
39,arborizing_vessels,t1,a dermoscopic image showing arborizing tree-like blood vessels,0.27253785729408264,0.26897233724594116,0.270675927400589,0.2679199278354645,0.27136003971099854,0.276233971118927,0.26645293831825256
40,arborizing_vessels,t2,a dermatoscopic image with branched telangiectatic vessels,0.3119702637195587,0.3108055889606476,0.3118862509727478,0.3109419345855713,0.315273642539978,0.3137435019016266,0.30421608686447144
41,arborizing_vessels,t3,a close-up photograph of a lesion with tree-branch vasculature,0.29051673412323,0.2890874743461609,0.29056069254875183,0.29192641377449036,0.2866038382053375,0.2958906292915344,0.2918531000614166
42,blue_grey_ovoid_nests,t1,a dermoscopic image showing blue-grey ovoid nests,0.25898370146751404,0.2687980830669403,0.2680851221084595,0.2719840705394745,0.27237752079963684,0.27190184593200684,0.27804285287857056
43,blue_grey_ovoid_nests,t2,a dermatoscopic image with large blue-grey pigmented nests,0.29596224427223206,0.3046644628047943,0.3028305768966675,0.3008890151977539,0.31298986077308655,0.30707213282585144,0.3103303611278534
44,blue_grey_ovoid_nests,t3,a close-up photograph of a lesion with grey-blue oval clusters,0.2786571979522705,0.2904403507709503,0.2864677608013153,0.2930634617805481,0.29200273752212524,0.29103878140449524,0.3095560371875763
45,ulceration,t1,a dermoscopic image of an ulcerated skin lesion,0.3056428134441376,0.30742576718330383,0.30951783061027527,0.30844905972480774,0.31232723593711853,0.31251922249794006,0.30914175510406494
46,ulceration,t2,a dermatoscopic image showing surface erosion or ulcer,0.313597172498703,0.3138091564178467,0.3150058090686798,0.3162875473499298,0.32010138034820557,0.32023054361343384,0.31364214420318604
47,ulceration,t3,a close-up photograph of a lesion with an open wound,0.28663507103919983,0.29580506682395935,0.2903596758842468,0.30174505710601807,0.29380664229393005,0.30094966292381287,0.3130224347114563
48,scaly_surface,t1,a dermoscopic image of a skin lesion with a scaly surface,0.31032031774520874,0.3136204481124878,0.31479161977767944,0.31554555892944336,0.31836673617362976,0.31998786330223083,0.32361647486686707
49,scaly_surface,t2,a dermatoscopic image showing keratotic scaling,0.31505346298217773,0.31565892696380615,0.31627634167671204,0.31631234288215637,0.32118964195251465,0.32136738300323486,0.31324008107185364
50,scaly_surface,t3,"a close-up photograph of a rough, scaly patch of skin",0.29815348982810974,0.2938433885574341,0.2980591356754303,0.2964750826358795,0.2944692373275757,0.2979659140110016,0.29201003909111023
51,strawberry_pattern,t1,a dermoscopic image showing a strawberry pattern with red pseudonetwork,0.2953079044818878,0.2963548004627228,0.2951000928878784,0.30183324217796326,0.30086615681648254,0.3045211434364319,0.31392529606819153
52,strawberry_pattern,t2,a dermatoscopic image with red dots around hair follicles,0.3352077305316925,0.33507606387138367,0.3339284658432007,0.3353877067565918,0.3408653140068054,0.34329259395599365,0.32948246598243713
53,strawberry_pattern,t3,a close-up photograph of a facial actinic lesion with red pseudonetwork,0.2962352931499481,0.29523229598999023,0.29724085330963135,0.30172041058540344,0.3014270067214966,0.3082900643348694,0.3042799234390259
54,milia_like_cysts,t1,a dermoscopic image showing milia-like cysts,0.2850479483604431,0.2899993062019348,0.28972575068473816,0.2957039475440979,0.2921169400215149,0.2940547466278076,0.30298882722854614
55,milia_like_cysts,t2,a dermatoscopic image with small white round inclusions,0.3181946277618408,0.3213392496109009,0.3227589726448059,0.32411977648735046,0.32760828733444214,0.32921677827835083,0.32526567578315735
56,milia_like_cysts,t3,a close-up photograph of a lesion with white milky cyst-like spots,0.3051411211490631,0.3122335374355316,0.3105549216270447,0.3193722367286682,0.3133748173713684,0.3182867765426636,0.32629263401031494
57,comedo_like_openings,t1,a dermoscopic image showing comedo-like openings,0.26366448402404785,0.269408255815506,0.26825985312461853,0.2761545479297638,0.272281289100647,0.2765154540538788,0.2790357172489166
58,comedo_like_openings,t2,a dermatoscopic image with brown pseudofollicular plugs,0.32359397411346436,0.3253348171710968,0.3273375630378723,0.33262380957603455,0.3370665907859802,0.33815136551856995,0.3288584351539612
59,comedo_like_openings,t3,a close-up photograph of a lesion with crater-like dark openings,0.29300791025161743,0.30016469955444336,0.29851391911506653,0.30472445487976074,0.30448800325393677,0.30736809968948364,0.3125101923942566
60,cerebriform_surface,t1,a dermoscopic image with a cerebriform brain-like surface,0.2667778730392456,0.2673654556274414,0.2678717076778412,0.26559677720069885,0.2680526673793793,0.2678748369216919,0.26679831743240356
61,cerebriform_surface,t2,a dermatoscopic image showing a gyriform fissured pattern,0.3285903036594391,0.32964152097702026,0.3329099118709564,0.3380783498287201,0.3409459888935089,0.3427355885505676,0.33858442306518555
62,cerebriform_surface,t3,a close-up photograph of a lesion with a wavy brain-like texture,0.2868819236755371,0.2836275100708008,0.28788477182388306,0.28812462091445923,0.283733993768692,0.2889862358570099,0.2891838550567627
63,central_white_patch,t1,a dermoscopic image showing a central white scar-like patch,0.29785364866256714,0.30574095249176025,0.30687415599823,0.316986083984375,0.31636542081832886,0.32316598296165466,0.3189217746257782
64,central_white_patch,t2,a dermatoscopic image with a peripheral pigment network surrounding a white centre,0.32377889752388,0.3258996903896332,0.326057493686676,0.328233003616333,0.33722570538520813,0.3354882299900055,0.322248250246048
65,central_white_patch,t3,a close-up photograph of a firm lesion with a white centre,0.2932097911834717,0.3008649945259094,0.3011760711669922,0.30948370695114136,0.3025905191898346,0.30825579166412354,0.31765344738960266
66,red_lacunae,t1,a dermoscopic image showing red lacunae,0.30332112312316895,0.3066454827785492,0.3075863718986511,0.3129672110080719,0.31664255261421204,0.3203260898590088,0.32089000940322876
67,red_lacunae,t2,a dermatoscopic image with bright red vascular spaces,0.31882715225219727,0.3180920481681824,0.3179475665092468,0.3187166750431061,0.3274470567703247,0.3299255073070526,0.32007044553756714
68,red_lacunae,t3,a close-up photograph of a vascular lesion with red lake-like areas,0.29116061329841614,0.2878767251968384,0.29059675335884094,0.2893892824649811,0.2907658815383911,0.29951319098472595,0.29770615696907043
69,healthy_skin,t1,a dermoscopic image of normal healthy skin,0.3113696277141571,0.31142789125442505,0.3153266906738281,0.312660813331604,0.31914883852005005,0.31774187088012695,0.30952227115631104
70,healthy_skin,t2,a dermatoscopic image with no visible lesion,0.3162478506565094,0.3183654248714447,0.3192548155784607,0.3195111155509949,0.3249575197696686,0.3253718316555023,0.31844061613082886
71,healthy_skin,t3,a close-up photograph of unremarkable skin,0.30532312393188477,0.3024050295352936,0.30671703815460205,0.3079834282398224,0.3049805164337158,0.3098551332950592,0.30216488242149353
